srclang,trglang,srcIndex,segmentId,judgeID,system1Id,system1rank,system2Id,system2rank,rankingID
eng,fin,358,358,judge13,newstest2015.CMU.4075.en-fi.txt,5,newstest2015.online-B.0.en-fi.txt,5,121
eng,fin,358,358,judge13,newstest2015.CMU.4075.en-fi.txt,5,newstest2015.online-A.0.en-fi.txt,5,121
eng,fin,358,358,judge13,newstest2015.CMU.4075.en-fi.txt,5,newstest2015.abumatran-combo.4018.en-fi.txt,5,121
eng,fin,358,358,judge13,newstest2015.CMU.4075.en-fi.txt,5,newstest2015.UU-unconstrained.3946.en-fi.txt,4,121
eng,fin,358,358,judge13,newstest2015.online-B.0.en-fi.txt,5,newstest2015.online-A.0.en-fi.txt,5,121
eng,fin,358,358,judge13,newstest2015.online-B.0.en-fi.txt,5,newstest2015.abumatran-combo.4018.en-fi.txt,5,121
eng,fin,358,358,judge13,newstest2015.online-B.0.en-fi.txt,5,newstest2015.UU-unconstrained.3946.en-fi.txt,4,121
eng,fin,358,358,judge13,newstest2015.online-A.0.en-fi.txt,5,newstest2015.abumatran-combo.4018.en-fi.txt,5,121
eng,fin,358,358,judge13,newstest2015.online-A.0.en-fi.txt,5,newstest2015.UU-unconstrained.3946.en-fi.txt,4,121
eng,fin,358,358,judge13,newstest2015.abumatran-combo.4018.en-fi.txt,5,newstest2015.UU-unconstrained.3946.en-fi.txt,4,121
eng,fin,317,317,judge13,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,5,newstest2015.abumatran-uncons.4116.en-fi.txt,5,122
eng,fin,317,317,judge13,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,5,newstest2015.abumatran-combo.4018.en-fi.txt,5,122
eng,fin,317,317,judge13,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,5,newstest2015.UU-unconstrained.3946.en-fi.txt,4,122
eng,fin,317,317,judge13,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,5,newstest2015.AaltoMorphsRescored.3904.en-fi.txt,5,122
eng,fin,317,317,judge13,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,5,newstest2015.online-B.0.en-fi.txt,5,122
eng,fin,317,317,judge13,newstest2015.abumatran-uncons.4116.en-fi.txt,5,newstest2015.abumatran-combo.4018.en-fi.txt,5,122
eng,fin,317,317,judge13,newstest2015.abumatran-uncons.4116.en-fi.txt,5,newstest2015.UU-unconstrained.3946.en-fi.txt,4,122
eng,fin,317,317,judge13,newstest2015.abumatran-uncons.4116.en-fi.txt,5,newstest2015.AaltoMorphsRescored.3904.en-fi.txt,5,122
eng,fin,317,317,judge13,newstest2015.abumatran-uncons.4116.en-fi.txt,5,newstest2015.online-B.0.en-fi.txt,5,122
eng,fin,317,317,judge13,newstest2015.abumatran-combo.4018.en-fi.txt,5,newstest2015.UU-unconstrained.3946.en-fi.txt,4,122
eng,fin,317,317,judge13,newstest2015.abumatran-combo.4018.en-fi.txt,5,newstest2015.AaltoMorphsRescored.3904.en-fi.txt,5,122
eng,fin,317,317,judge13,newstest2015.abumatran-combo.4018.en-fi.txt,5,newstest2015.online-B.0.en-fi.txt,5,122
eng,fin,317,317,judge13,newstest2015.UU-unconstrained.3946.en-fi.txt,4,newstest2015.AaltoMorphsRescored.3904.en-fi.txt,5,122
eng,fin,317,317,judge13,newstest2015.UU-unconstrained.3946.en-fi.txt,4,newstest2015.online-B.0.en-fi.txt,5,122
eng,fin,317,317,judge13,newstest2015.AaltoMorphsRescored.3904.en-fi.txt,5,newstest2015.online-B.0.en-fi.txt,5,122
eng,fin,379,379,judge13,newstest2015.abumatran-combo.4018.en-fi.txt,5,newstest2015.GF-Wide-coverage-system.4129.en-fi.txt,5,123
eng,fin,379,379,judge13,newstest2015.abumatran-combo.4018.en-fi.txt,5,newstest2015.UU-unconstrained.3946.en-fi.txt,2,123
eng,fin,379,379,judge13,newstest2015.abumatran-combo.4018.en-fi.txt,5,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,2,123
eng,fin,379,379,judge13,newstest2015.abumatran-combo.4018.en-fi.txt,5,newstest2015.abumatran-uncons.4116.en-fi.txt,2,123
eng,fin,379,379,judge13,newstest2015.abumatran-combo.4018.en-fi.txt,5,newstest2015.online-B.0.en-fi.txt,2,123
eng,fin,379,379,judge13,newstest2015.GF-Wide-coverage-system.4129.en-fi.txt,5,newstest2015.UU-unconstrained.3946.en-fi.txt,2,123
eng,fin,379,379,judge13,newstest2015.GF-Wide-coverage-system.4129.en-fi.txt,5,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,2,123
eng,fin,379,379,judge13,newstest2015.GF-Wide-coverage-system.4129.en-fi.txt,5,newstest2015.abumatran-uncons.4116.en-fi.txt,2,123
eng,fin,379,379,judge13,newstest2015.GF-Wide-coverage-system.4129.en-fi.txt,5,newstest2015.online-B.0.en-fi.txt,2,123
eng,fin,379,379,judge13,newstest2015.UU-unconstrained.3946.en-fi.txt,2,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,2,123
eng,fin,379,379,judge13,newstest2015.UU-unconstrained.3946.en-fi.txt,2,newstest2015.abumatran-uncons.4116.en-fi.txt,2,123
eng,fin,379,379,judge13,newstest2015.UU-unconstrained.3946.en-fi.txt,2,newstest2015.online-B.0.en-fi.txt,2,123
eng,fin,379,379,judge13,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,2,newstest2015.abumatran-uncons.4116.en-fi.txt,2,123
eng,fin,379,379,judge13,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,2,newstest2015.online-B.0.en-fi.txt,2,123
eng,fin,379,379,judge13,newstest2015.abumatran-uncons.4116.en-fi.txt,2,newstest2015.online-B.0.en-fi.txt,2,123
eng,fin,1238,1238,judge14,newstest2015.GF-Wide-coverage-system.4129.en-fi.txt,3,newstest2015.online-A.0.en-fi.txt,2,124
eng,fin,1238,1238,judge14,newstest2015.GF-Wide-coverage-system.4129.en-fi.txt,3,newstest2015.UU-unconstrained.3946.en-fi.txt,1,124
eng,fin,1238,1238,judge14,newstest2015.GF-Wide-coverage-system.4129.en-fi.txt,3,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,4,124
eng,fin,1238,1238,judge14,newstest2015.GF-Wide-coverage-system.4129.en-fi.txt,3,newstest2015.CMU.4075.en-fi.txt,5,124
eng,fin,1238,1238,judge14,newstest2015.online-A.0.en-fi.txt,2,newstest2015.UU-unconstrained.3946.en-fi.txt,1,124
eng,fin,1238,1238,judge14,newstest2015.online-A.0.en-fi.txt,2,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,4,124
eng,fin,1238,1238,judge14,newstest2015.online-A.0.en-fi.txt,2,newstest2015.CMU.4075.en-fi.txt,5,124
eng,fin,1238,1238,judge14,newstest2015.UU-unconstrained.3946.en-fi.txt,1,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,4,124
eng,fin,1238,1238,judge14,newstest2015.UU-unconstrained.3946.en-fi.txt,1,newstest2015.CMU.4075.en-fi.txt,5,124
eng,fin,1238,1238,judge14,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,4,newstest2015.CMU.4075.en-fi.txt,5,124
eng,fin,954,954,judge14,newstest2015.abumatran-uncons.4116.en-fi.txt,1,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,5,125
eng,fin,954,954,judge14,newstest2015.abumatran-uncons.4116.en-fi.txt,1,newstest2015.CMU.4075.en-fi.txt,4,125
eng,fin,954,954,judge14,newstest2015.abumatran-uncons.4116.en-fi.txt,1,newstest2015.UU-unconstrained.3946.en-fi.txt,2,125
eng,fin,954,954,judge14,newstest2015.abumatran-uncons.4116.en-fi.txt,1,newstest2015.AaltoMorphsRescored.3904.en-fi.txt,3,125
eng,fin,954,954,judge14,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,5,newstest2015.CMU.4075.en-fi.txt,4,125
eng,fin,954,954,judge14,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,5,newstest2015.UU-unconstrained.3946.en-fi.txt,2,125
eng,fin,954,954,judge14,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,5,newstest2015.AaltoMorphsRescored.3904.en-fi.txt,3,125
eng,fin,954,954,judge14,newstest2015.CMU.4075.en-fi.txt,4,newstest2015.UU-unconstrained.3946.en-fi.txt,2,125
eng,fin,954,954,judge14,newstest2015.CMU.4075.en-fi.txt,4,newstest2015.AaltoMorphsRescored.3904.en-fi.txt,3,125
eng,fin,954,954,judge14,newstest2015.UU-unconstrained.3946.en-fi.txt,2,newstest2015.AaltoMorphsRescored.3904.en-fi.txt,3,125
eng,fin,1310,1310,judge14,newstest2015.GF-Wide-coverage-system.4129.en-fi.txt,5,newstest2015.CMU.4075.en-fi.txt,1,126
eng,fin,1310,1310,judge14,newstest2015.GF-Wide-coverage-system.4129.en-fi.txt,5,newstest2015.abumatran-uncons.4116.en-fi.txt,3,126
eng,fin,1310,1310,judge14,newstest2015.GF-Wide-coverage-system.4129.en-fi.txt,5,newstest2015.abumatran-combo.4018.en-fi.txt,2,126
eng,fin,1310,1310,judge14,newstest2015.GF-Wide-coverage-system.4129.en-fi.txt,5,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,2,126
eng,fin,1310,1310,judge14,newstest2015.GF-Wide-coverage-system.4129.en-fi.txt,5,newstest2015.online-B.0.en-fi.txt,4,126
eng,fin,1310,1310,judge14,newstest2015.CMU.4075.en-fi.txt,1,newstest2015.abumatran-uncons.4116.en-fi.txt,3,126
eng,fin,1310,1310,judge14,newstest2015.CMU.4075.en-fi.txt,1,newstest2015.abumatran-combo.4018.en-fi.txt,2,126
eng,fin,1310,1310,judge14,newstest2015.CMU.4075.en-fi.txt,1,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,2,126
eng,fin,1310,1310,judge14,newstest2015.CMU.4075.en-fi.txt,1,newstest2015.online-B.0.en-fi.txt,4,126
eng,fin,1310,1310,judge14,newstest2015.abumatran-uncons.4116.en-fi.txt,3,newstest2015.abumatran-combo.4018.en-fi.txt,2,126
eng,fin,1310,1310,judge14,newstest2015.abumatran-uncons.4116.en-fi.txt,3,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,2,126
eng,fin,1310,1310,judge14,newstest2015.abumatran-uncons.4116.en-fi.txt,3,newstest2015.online-B.0.en-fi.txt,4,126
eng,fin,1310,1310,judge14,newstest2015.abumatran-combo.4018.en-fi.txt,2,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,2,126
eng,fin,1310,1310,judge14,newstest2015.abumatran-combo.4018.en-fi.txt,2,newstest2015.online-B.0.en-fi.txt,4,126
eng,fin,1310,1310,judge14,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,2,newstest2015.online-B.0.en-fi.txt,4,126
eng,fin,175,175,judge15,newstest2015.UU-unconstrained.3946.en-fi.txt,3,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,2,127
eng,fin,175,175,judge15,newstest2015.UU-unconstrained.3946.en-fi.txt,3,newstest2015.abumatran-uncons.4116.en-fi.txt,2,127
eng,fin,175,175,judge15,newstest2015.UU-unconstrained.3946.en-fi.txt,3,newstest2015.online-A.0.en-fi.txt,4,127
eng,fin,175,175,judge15,newstest2015.UU-unconstrained.3946.en-fi.txt,3,newstest2015.abumatran-combo.4018.en-fi.txt,5,127
eng,fin,175,175,judge15,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,2,newstest2015.abumatran-uncons.4116.en-fi.txt,2,127
eng,fin,175,175,judge15,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,2,newstest2015.online-A.0.en-fi.txt,4,127
eng,fin,175,175,judge15,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,2,newstest2015.abumatran-combo.4018.en-fi.txt,5,127
eng,fin,175,175,judge15,newstest2015.abumatran-uncons.4116.en-fi.txt,2,newstest2015.online-A.0.en-fi.txt,4,127
eng,fin,175,175,judge15,newstest2015.abumatran-uncons.4116.en-fi.txt,2,newstest2015.abumatran-combo.4018.en-fi.txt,5,127
eng,fin,175,175,judge15,newstest2015.online-A.0.en-fi.txt,4,newstest2015.abumatran-combo.4018.en-fi.txt,5,127
eng,fin,646,646,judge15,newstest2015.abumatran-uncons.4116.en-fi.txt,4,newstest2015.CMU.4075.en-fi.txt,3,129
eng,fin,646,646,judge15,newstest2015.abumatran-uncons.4116.en-fi.txt,4,newstest2015.GF-Wide-coverage-system.4129.en-fi.txt,5,129
eng,fin,646,646,judge15,newstest2015.abumatran-uncons.4116.en-fi.txt,4,newstest2015.online-B.0.en-fi.txt,2,129
eng,fin,646,646,judge15,newstest2015.abumatran-uncons.4116.en-fi.txt,4,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,1,129
